dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,31.508330,12.126000,0.000077,0.007745,0.387246,19.362292,2.078753
0.020000,31.508330,12.126000,0.000077,0.000000,-0.387246,-38.724583,2.078817
0.020000,31.508330,12.126000,0.000077,0.000000,0.000000,19.362292,2.078959
0.020000,31.508330,12.126000,0.000077,0.000000,0.000000,0.000000,2.079213
0.020000,31.508330,12.126000,0.000077,0.000000,0.000000,0.000000,2.079609
0.020000,31.508135,12.126350,0.000478,0.020046,1.002320,50.115997,2.080179
0.020000,31.506283,12.129663,0.004273,0.189750,8.485175,374.142746,2.080954
0.020000,31.503860,12.133987,0.009230,0.247837,2.904366,-279.040444,2.081964
0.020000,31.500788,12.139456,0.015504,0.313669,3.291592,19.361286,2.083238
0.020000,31.496985,12.146204,0.023248,0.387246,3.678825,19.361658,2.084807
0.020000,31.492370,12.154360,0.032620,0.468568,4.066117,19.364617,2.086696
0.020000,31.486857,12.164054,0.043772,0.557633,4.453258,19.357018,2.088935
0.020000,31.480360,12.175417,0.056861,0.654445,4.840599,19.367082,2.091546
0.020000,31.472787,12.188573,0.072041,0.759002,5.227844,19.362242,2.094554
0.020000,31.464046,12.203648,0.089467,0.871302,5.614994,19.357515,2.097979
0.020000,31.454038,12.220764,0.109294,0.991348,6.002331,19.366834,2.101841
0.020000,31.442661,12.240040,0.131677,1.119140,6.389575,19.362198,2.106154
0.020000,31.429808,12.261592,0.156771,1.254674,6.776717,19.357116,2.110931
0.020000,31.415367,12.285533,0.184730,1.397956,7.164094,19.368820,2.116181
0.020000,31.399220,12.311972,0.215709,1.548980,7.551200,19.355309,2.121907
0.020000,31.381245,12.341014,0.249864,1.707751,7.938539,19.366973,2.128111
0.020000,31.361312,12.372760,0.287350,1.874267,8.325814,19.363733,2.134787
0.020000,31.339287,12.407307,0.328320,2.048525,8.712877,19.353136,2.141923
0.020000,31.315029,12.444746,0.372931,2.230533,9.100429,19.377592,2.149504
0.020000,31.288391,12.485163,0.421336,2.420277,9.487178,19.337476,2.157505
0.020000,31.259222,12.528640,0.473692,2.617775,9.874928,19.387511,2.165897
0.020000,31.227366,12.575254,0.530152,2.823010,10.261745,19.340851,2.174640
0.020000,31.192661,12.625079,0.590872,3.035997,10.649331,19.379299,2.183691
0.020000,31.154944,12.678182,0.656007,3.256725,11.036417,19.354266,2.192993
0.020000,31.114048,12.734628,0.725711,3.485200,11.423757,19.367040,2.202487
0.020000,31.069806,12.794480,0.800139,3.721419,11.810937,19.358994,2.212099
0.020000,31.022052,12.857799,0.879447,3.965380,12.198026,19.354415,2.221750
0.020000,30.970620,12.924644,0.963788,4.217092,12.585632,19.380301,2.231352
0.020000,30.915350,12.995079,1.053319,4.476543,12.972554,19.346133,2.240804
