dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,42.146694,19.424375,0.000078,0.007760,0.388008,19.400416,3.158986
0.020000,42.146694,19.424375,0.000388,0.023280,0.776017,19.400416,3.158999
0.020000,42.146694,19.424375,0.001086,0.046561,1.164025,19.400416,3.159029
0.020000,42.146694,19.424375,0.002328,0.077602,1.552033,19.400416,3.159082
0.020000,42.146694,19.424375,0.004268,0.116402,1.940042,19.400416,3.159165
0.020000,42.146694,19.424375,0.007062,0.162963,2.328050,19.400416,3.159284
0.020000,42.144146,19.424330,0.010864,0.217285,2.716058,19.400416,3.159446
0.020000,42.139180,19.424240,0.015831,0.279366,3.104067,19.400416,3.159658
0.020000,42.132895,19.424126,0.022116,0.349207,3.492075,19.400416,3.159924
0.020000,42.125137,19.423983,0.029877,0.426809,3.880083,19.400416,3.160253
0.020000,42.115748,19.423805,0.039266,0.512171,4.268091,19.400416,3.160649
0.020000,42.104576,19.423590,0.050441,0.605293,4.656100,19.400416,3.161119
0.020000,42.091464,19.423330,0.063556,0.706175,5.044108,19.400416,3.161668
0.020000,42.076257,19.423020,0.078766,0.814817,5.432116,19.400416,3.162301
0.020000,42.058801,19.422652,0.096226,0.931220,5.820125,19.400416,3.163022
0.020000,42.038939,19.422218,0.116092,1.055383,6.208133,19.400416,3.163838
0.020000,42.016518,19.421709,0.138519,1.187305,6.596141,19.400416,3.164750
0.020000,41.991382,19.421114,0.163662,1.326988,6.984150,19.400416,3.165764
0.020000,41.963377,19.420422,0.191676,1.474432,7.372158,19.400416,3.166881
0.020000,41.932346,19.419618,0.222717,1.629635,7.760166,19.400416,3.168104
0.020000,41.898137,19.418688,0.256939,1.792598,8.148175,19.400416,3.169435
0.020000,41.860593,19.417615,0.294498,1.963322,8.536183,19.400416,3.170873
0.020000,41.819560,19.416381,0.335550,2.141806,8.924191,19.400416,3.172419
0.020000,41.774884,19.414967,0.380248,2.328050,9.312200,19.400416,3.174071
0.020000,41.726410,19.413349,0.428749,2.522054,9.700208,19.400416,3.175826
0.020000,41.673984,19.411505,0.481208,2.723818,10.088216,19.400416,3.177683
0.020000,41.617451,19.409408,0.537780,2.933343,10.476224,19.400416,3.179634
0.020000,41.556658,19.407032,0.598619,3.150628,10.864233,19.400416,3.181675
0.020000,41.491450,19.404347,0.663882,3.375672,11.252241,19.400416,3.183798
0.020000,41.421674,19.401323,0.733724,3.608477,11.640249,19.400416,3.185993
0.020000,41.347176,19.397929,0.808299,3.849042,12.028258,19.400416,3.188249
0.020000,41.267803,19.394130,0.887763,4.097368,12.416266,19.400416,3.190554
0.020000,41.183401,19.389895,0.972271,4.353453,12.804274,19.400416,3.192894
0.020000,41.093817,19.385188,1.061979,4.617299,13.192283,19.400416,3.195251
0.020000,40.998898,19.379977,1.157041,4.888905,13.580291,19.400416,3.197606
0.020000,40.898490,19.374228,1.257613,5.168271,13.968299,19.400416,3.199939
0.020000,40.792442,19.367910,1.363849,5.455397,14.356308,19.400416,3.202226
0.020000,40.680599,19.360994,1.475906,5.750283,14.744316,19.400416,3.204442
0.020000,40.562885,19.353459,1.593861,6.045170,14.744316,0.000000,3.206555
0.020000,40.439302,19.345294,1.717713,6.340056,14.744316,-0.000000,3.208533
0.020000,40.309851,19.336495,1.847463,6.634942,14.744316,0.000000,3.210340
0.020000,40.174531,19.327065,1.983110,6.929828,14.744316,0.000000,3.211941
0.020000,40.033421,19.317022,2.124578,7.216955,14.356308,-19.400416,3.213295
0.020000,39.886672,19.306399,2.271711,7.496321,13.968299,-19.400416,3.214364
0.020000,39.734438,19.295240,2.424354,7.767926,13.580291,-19.400416,3.215106
0.020000,39.576870,19.283600,2.582351,8.031772,13.192283,-19.400416,3.215481
0.020000,39.414119,19.271550,2.745547,8.287858,12.804274,-19.400416,3.215448
0.020000,39.246335,19.259170,2.913787,8.536183,12.416266,-19.400416,3.214968
0.020000,39.073666,19.246554,3.086917,8.776748,12.028258,-19.400416,3.214001
0.020000,38.896260,19.233812,3.264780,9.009553,11.640249,-19.400416,3.212507
0.020000,38.714264,19.221064,3.447221,9.234598,11.252241,-19.400416,3.210447
0.020000,38.527826,19.208448,3.634086,9.451883,10.864233,-19.400416,3.207783
0.020000,38.337092,19.196112,3.825219,9.661407,10.476224,-19.400416,3.204477
0.020000,38.142209,19.184220,4.020465,9.863171,10.088216,-19.400416,3.200492
0.020000,37.943324,19.172951,4.219668,10.057175,9.700208,-19.400416,3.195793
0.020000,37.740588,19.162494,4.422674,10.243419,9.312200,-19.400416,3.190343
0.020000,37.534151,19.153055,4.629327,10.421903,8.924191,-19.400416,3.184111
0.020000,37.324166,19.144850,4.839472,10.592627,8.536183,-19.400416,3.177062
0.020000,37.110791,19.138109,5.052955,10.755590,8.148175,-19.400416,3.169169
0.020000,36.894187,19.133070,5.269619,10.910794,7.760166,-19.400416,3.160402
0.020000,36.674519,19.129986,5.489309,11.058237,7.372158,-19.400416,3.150736
0.020000,36.451960,19.129114,5.711870,11.197920,6.984150,-19.400416,3.140149
0.020000,36.226689,19.130723,5.937148,11.329843,6.596141,-19.400416,3.128622
0.020000,35.998894,19.135084,6.164986,11.454005,6.208133,-19.400416,3.116142
0.020000,35.768770,19.142474,6.395231,11.570408,5.820125,-19.400416,3.102698
0.020000,35.536524,19.153172,6.627725,11.679050,5.432116,-19.400416,3.088286
0.020000,35.302372,19.167456,6.862315,11.779932,5.044108,-19.400416,3.072908
0.020000,35.066542,19.185600,7.098845,11.873054,4.656100,-19.400416,3.056573
0.020000,34.829273,19.207871,7.337160,11.958416,4.268091,-19.400416,3.039298
0.020000,34.590817,19.234527,7.577104,12.036018,3.880083,-19.400416,3.021107
0.020000,34.351438,19.265813,7.818523,12.105859,3.492075,-19.400416,3.002034
0.020000,34.111410,19.301956,8.061261,12.167941,3.104067,-19.400416,2.982120
0.020000,33.871018,19.343163,8.305163,12.222262,2.716058,-19.400416,2.961417
0.020000,33.634544,19.392112,8.550074,12.268823,2.328050,-19.400416,2.906687
0.020000,33.397841,19.458011,8.795838,12.307624,1.940042,-19.400416,2.830689
0.020000,33.166976,19.544032,9.042301,12.338664,1.552033,-19.400416,2.735625
0.020000,32.946136,19.654349,9.289307,12.361945,1.164025,-19.400416,2.616693
0.020000,32.741537,19.793036,9.536701,12.377465,0.776017,-19.400416,2.470498
0.020000,32.561439,19.962520,9.784311,12.383550,0.304231,-23.589266,2.299029
