dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,42.146694,19.424375,0.000078,0.007760,0.388008,19.400416,3.158986
0.020000,42.146694,19.424375,0.000078,0.000000,-0.388008,-38.800831,3.158999
0.020000,42.146694,19.424375,0.000078,0.000000,0.000000,19.400416,3.159029
0.020000,42.146694,19.424375,0.000078,0.000000,0.000000,0.000000,3.159082
0.020000,42.146694,19.424375,0.000078,0.000000,0.000000,0.000000,3.159165
0.020000,42.146694,19.424375,0.000078,0.000000,0.000000,0.000000,3.159284
0.020000,42.144146,19.424330,0.002626,0.127411,6.370573,318.528631,3.159446
0.020000,42.139180,19.424240,0.007592,0.248325,6.045697,-16.243761,3.159658
0.020000,42.132895,19.424126,0.013878,0.314287,3.298062,-137.381788,3.159924
0.020000,42.125137,19.423983,0.021638,0.388008,3.686083,19.401062,3.160253
0.020000,42.115748,19.423805,0.031028,0.469490,4.074089,19.400318,3.160649
0.020000,42.104576,19.423590,0.042203,0.558732,4.462099,19.400501,3.161119
0.020000,42.091464,19.423330,0.055317,0.655734,4.850092,19.399628,3.161668
0.020000,42.076257,19.423020,0.070527,0.760496,5.238118,19.401283,3.162301
0.020000,42.058801,19.422652,0.087988,0.873019,5.626121,19.400182,3.163022
0.020000,42.038939,19.422218,0.107854,0.993301,6.014138,19.400836,3.163838
0.020000,42.016518,19.421709,0.130281,1.121344,6.402118,19.399006,3.164750
0.020000,41.991382,19.421114,0.155423,1.257147,6.790154,19.401794,3.165764
0.020000,41.963377,19.420422,0.183438,1.400710,7.178162,19.400406,3.166881
0.020000,41.932346,19.419618,0.214478,1.552033,7.566144,19.399118,3.168104
0.020000,41.898137,19.418688,0.248701,1.711117,7.954181,19.401823,3.169435
0.020000,41.860593,19.417615,0.286260,1.877960,8.342162,19.399077,3.170873
0.020000,41.819560,19.416381,0.327311,2.052564,8.730195,19.401652,3.172419
0.020000,41.774884,19.414967,0.372010,2.234928,9.118194,19.399916,3.174071
0.020000,41.726410,19.413349,0.420511,2.425052,9.506195,19.400084,3.175826
0.020000,41.673984,19.411505,0.472969,2.622936,9.894223,19.401356,3.177683
0.020000,41.617451,19.409408,0.529541,2.828580,10.282198,19.398778,3.179634
0.020000,41.556658,19.407032,0.590381,3.041985,10.670251,19.402633,3.181675
