dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,42.150000,19.450000,0.000077,0.007651,0.382541,19.127051,3.141593
0.020000,42.150000,19.450000,0.000077,0.000000,-0.382541,-38.254102,3.141593
0.020000,42.150000,19.450000,0.000077,0.000000,0.000000,19.127051,3.141593
0.020000,42.150000,19.450000,0.000077,0.000000,0.000000,0.000000,3.141593
0.020000,42.150000,19.450000,0.000077,0.000000,0.000000,0.000000,3.141593
0.020000,42.148368,19.450000,0.001709,0.081612,4.080616,204.030809,3.141593
0.020000,42.144619,19.450000,0.005458,0.187445,5.291639,60.551125,3.141593
0.020000,42.139722,19.450000,0.010354,0.244826,2.869058,-121.129054,3.141593
0.020000,42.133525,19.450000,0.016551,0.309858,3.251599,19.127051,3.141593
0.020000,42.125874,19.450000,0.024202,0.382541,3.634140,19.127051,3.141593
0.020000,42.116617,19.450000,0.033460,0.462875,4.016681,19.127051,3.141593
0.020000,42.105600,19.450000,0.044477,0.550859,4.399222,19.127051,3.141593
0.020000,42.092670,19.450000,0.057407,0.646494,4.781763,19.127051,3.141593
0.020000,42.077674,19.450000,0.072402,0.749780,5.164304,19.127051,3.141593
0.020000,42.060460,19.450000,0.089617,0.860717,5.546845,19.127051,3.141593
0.020000,42.040874,19.450000,0.109203,0.979305,5.929386,19.127051,3.141593
0.020000,42.018763,19.450000,0.131314,1.105544,6.311927,19.127051,3.141593
0.020000,41.994051,19.450000,0.156026,1.235607,6.503197,9.563525,3.141593
0.020000,41.966737,19.450000,0.183339,1.365671,6.503197,0.000000,3.141593
0.020000,41.936823,19.450000,0.213254,1.495735,6.503197,-0.000000,3.141593
0.020000,41.904307,19.450000,0.245770,1.625799,6.503197,0.000000,3.141593
0.020000,41.869189,19.450000,0.280887,1.755863,6.503197,-0.000000,3.141593
0.020000,41.831471,19.450000,0.318606,1.885927,6.503197,0.000000,3.141593
0.020000,41.791151,19.450000,0.358926,2.015991,6.503197,-0.000000,3.141593
0.020000,41.748230,19.450000,0.401847,2.146055,6.503197,0.000000,3.141593
0.020000,41.702707,19.450000,0.447369,2.276119,6.503197,-0.000000,3.141593
0.020000,41.654584,19.450000,0.495493,2.406183,6.503197,0.000000,3.141593
0.020000,41.603859,19.450000,0.546218,2.536247,6.503197,0.000000,3.141593
0.020000,41.550533,19.450000,0.599544,2.666311,6.503197,-0.000000,3.141593
0.020000,41.494605,19.450000,0.655471,2.796375,6.503197,0.000000,3.141593
0.020000,41.436076,19.450000,0.714000,2.926439,6.503197,-0.000000,3.141593
0.020000,41.374946,19.450000,0.775130,3.056503,6.503197,0.000000,3.141593
0.020000,41.311215,19.450000,0.838862,3.186567,6.503197,-0.000000,3.141593
0.020000,41.244882,19.450000,0.905194,3.316631,6.503197,0.000000,3.141593
0.020000,41.175948,19.450000,0.974128,3.446695,6.503197,-0.000000,3.141593
0.020000,41.104413,19.450000,1.045663,3.576758,6.503197,0.000000,3.141593
0.020000,41.030277,19.450000,1.119800,3.706822,6.503197,0.000000,3.141593
0.020000,40.953539,19.450000,1.196537,3.836886,6.503197,-0.000000,3.141593
0.020000,40.874277,19.450000,1.275800,3.963125,6.311927,-9.563525,3.141593
0.020000,40.792642,19.450000,1.357434,4.081713,5.929386,-19.127051,3.141593
0.020000,40.708789,19.450000,1.441287,4.192650,5.546845,-19.127051,3.141593
