dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,36.820000,19.450000,0.000077,0.007740,0.387024,19.351191,3.110948
0.020000,36.820000,19.450000,0.000387,0.023221,0.774048,19.351191,3.110860
0.020000,36.820000,19.450000,0.001084,0.046443,1.161071,19.351191,3.110661
0.020000,36.820000,19.450000,0.002322,0.077405,1.548095,19.351191,3.110308
0.020000,36.820000,19.450000,0.004257,0.116107,1.935119,19.351191,3.109756
0.020000,36.818919,19.450035,0.007044,0.162550,2.322143,19.351191,3.108963
0.020000,36.815128,19.450161,0.010837,0.216733,2.709167,19.351191,3.107885
0.020000,36.810177,19.450331,0.015791,0.278657,3.096191,19.351191,3.106480
0.020000,36.803912,19.450557,0.022060,0.348321,3.483214,19.351191,3.104708
0.020000,36.796177,19.450851,0.029801,0.425726,3.870238,19.351191,3.102529
0.020000,36.786819,19.451229,0.039167,0.510871,4.257262,19.351191,3.099905
0.020000,36.775683,19.451711,0.050313,0.603757,4.644286,19.351191,3.096800
0.020000,36.762615,19.452320,0.063395,0.704383,5.031310,19.351191,3.093180
0.020000,36.747463,19.453086,0.078566,0.812750,5.418333,19.351191,3.089016
0.020000,36.730074,19.454042,0.095982,0.928857,5.805357,19.351191,3.084281
0.020000,36.710294,19.455230,0.115798,1.052705,6.192381,19.351191,3.078952
0.020000,36.687972,19.456697,0.138168,1.184293,6.579405,19.351191,3.073011
0.020000,36.662958,19.458498,0.163247,1.323621,6.966429,19.351191,3.066447
0.020000,36.635101,19.460696,0.191190,1.470690,7.353452,19.351191,3.059252
0.020000,36.604332,19.463357,0.222074,1.617760,7.353452,0.000000,3.051447
0.020000,36.570656,19.466544,0.255900,1.764829,7.353452,-0.000000,3.043075
0.020000,36.534084,19.470323,0.292667,1.911898,7.353452,0.000000,3.034187
0.020000,36.494625,19.474765,0.332376,2.058967,7.353452,-0.000000,3.024835
0.020000,36.452290,19.479942,0.375026,2.206036,7.353452,0.000000,3.015076
0.020000,36.407093,19.485924,0.420617,2.353105,7.353452,0.000000,3.004970
0.020000,36.359048,19.492785,0.469150,2.500174,7.353452,0.000000,2.994583
0.020000,36.308170,19.500597,0.520624,2.647243,7.353452,0.000000,2.983980
0.020000,36.254476,19.509429,0.575040,2.794312,7.353452,0.000000,2.973234
0.020000,36.197984,19.519348,0.632397,2.941381,7.353452,0.000000,2.962416
0.020000,36.138711,19.530417,0.692695,3.088450,7.353452,0.000000,2.951601
0.020000,36.076675,19.542697,0.755935,3.235519,7.353452,0.000000,2.940865
0.020000,36.011895,19.556238,0.822116,3.382588,7.353452,0.000000,2.930286
0.020000,35.944386,19.571089,0.891238,3.529657,7.353452,-0.000000,2.919944
0.020000,35.874167,19.587288,0.963302,3.676726,7.353452,0.000000,2.909916
0.020000,35.801251,19.604866,1.038307,3.823795,7.353452,-0.000000,2.900284
0.020000,35.725651,19.623845,1.116254,3.970864,7.353452,0.000000,2.891128
0.020000,35.647375,19.644236,1.197142,4.117933,7.353452,-0.000000,2.882530
0.020000,35.566431,19.666040,1.280971,4.265002,7.353452,0.000000,2.874570
0.020000,35.482896,19.689224,1.367665,4.404331,6.966429,-19.351191,2.867338
0.020000,35.396915,19.713720,1.457067,4.535919,6.579405,-19.351191,2.860926
0.020000,35.308629,19.739443,1.549024,4.659767,6.192381,-19.351191,2.855420
0.020000,35.218173,19.766291,1.643381,4.775874,5.805357,-19.351191,2.850901
0.020000,35.125675,19.794147,1.739982,4.884241,5.418333,-19.351191,2.847447
0.020000,35.031259,19.822879,1.838673,4.984867,5.031310,-19.351191,2.845130
0.020000,34.935042,19.852340,1.939299,5.077752,4.644286,-19.351191,2.844020
0.020000,34.837137,19.882368,2.041705,5.162898,4.257262,-19.351191,2.844185
0.020000,34.737653,19.912790,2.145737,5.240302,3.870238,-19.351191,2.845690
0.020000,34.636694,19.943420,2.251240,5.309967,3.483214,-19.351191,2.848600
0.020000,34.534364,19.974059,2.358059,5.371891,3.096191,-19.351191,2.852977
0.020000,34.430764,20.004500,2.466038,5.426074,2.709167,-19.351191,2.858884
0.020000,34.325996,20.034524,2.575024,5.472517,2.322143,-19.351191,2.866383
0.020000,34.220161,20.063902,2.684862,5.511219,1.935119,-19.351191,2.875533
0.020000,34.113364,20.092400,2.795396,5.542181,1.548095,-19.351191,2.886393
0.020000,34.005715,20.119777,2.906471,5.565402,1.161071,-19.351191,2.899019
0.020000,33.897330,20.145784,3.017934,5.580883,0.774048,-19.351191,2.913461
0.020000,33.788332,20.170174,3.129629,5.588624,0.387024,-19.351191,2.929763
0.020000,33.678920,20.192683,3.241334,5.581880,-0.337196,-36.210989,2.947950
0.020000,33.569306,20.213056,3.352827,5.567396,-0.724220,-19.351191,2.968027
0.020000,33.459651,20.231061,3.463953,5.545171,-1.111244,-19.351191,2.989993
0.020000,33.350130,20.246478,3.574557,5.515205,-1.498267,-19.351191,3.013828
0.020000,33.240933,20.259102,3.684484,5.477500,-1.885291,-19.351191,3.039484
0.020000,33.132268,20.268752,3.793579,5.432053,-2.272315,-19.351191,3.066887
0.020000,33.024360,20.275271,3.901688,5.378866,-2.659339,-19.351191,3.095931
0.020000,32.917446,20.278537,4.008656,5.317939,-3.046363,-19.351191,3.126475
0.020000,32.811778,20.278465,4.114329,5.249271,-3.433386,-19.351191,3.158341
0.020000,32.707619,20.275014,4.218550,5.172863,-3.820410,-19.351191,3.191321
0.020000,32.605235,20.268191,4.321166,5.088715,-4.207434,-19.351191,3.225174
0.020000,32.504896,20.258050,4.422021,4.996825,-4.594458,-19.351191,3.259635
0.020000,32.406866,20.244699,4.520961,4.897196,-4.981482,-19.351191,3.294423
0.020000,32.311400,20.228293,4.617831,4.789826,-5.368506,-19.351191,3.329249
0.020000,32.218739,20.209036,4.712477,4.674715,-5.755529,-19.351191,3.363827
0.020000,32.129106,20.187174,4.804743,4.551864,-6.142553,-19.351191,3.397882
0.020000,32.042700,20.162988,4.894474,4.421272,-6.529577,-19.351191,3.431163
0.020000,31.959697,20.136791,4.981516,4.282940,-6.916601,-19.351191,3.463442
0.020000,31.880250,20.108919,5.065714,4.136868,-7.303625,-19.351191,3.494525
0.020000,31.804422,20.079697,5.146981,3.989799,-7.353452,-2.491393,3.524277
0.020000,31.732188,20.049422,5.225306,3.842730,-7.353452,-0.000000,3.552621
0.020000,31.663497,20.018374,5.300690,3.695661,-7.353452,0.000000,3.579513
0.020000,31.598290,19.986822,5.373133,3.548592,-7.353452,0.000000,3.604935
0.020000,31.536495,19.955015,5.442634,3.401523,-7.353452,0.000000,3.628885
0.020000,31.478040,19.923188,5.509194,3.254454,-7.353452,-0.000000,3.651380
0.020000,31.422843,19.891558,5.572812,3.107385,-7.353452,-0.000000,3.672450
0.020000,31.370824,19.860325,5.633489,2.960316,-7.353452,0.000000,3.692131
0.020000,31.321899,19.829670,5.691225,2.813247,-7.353452,-0.000000,3.710468
0.020000,31.275990,19.799760,5.746019,2.666177,-7.353452,0.000000,3.727509
0.020000,31.233015,19.770746,5.797872,2.519108,-7.353452,0.000000,3.743305
0.020000,31.192898,19.742765,5.846783,2.372039,-7.353452,0.000000,3.757905
0.020000,31.155566,19.715940,5.892753,2.224970,-7.353452,0.000000,3.771361
0.020000,31.120950,19.690383,5.935782,2.077901,-7.353452,-0.000000,3.783720
0.020000,31.088984,19.666193,5.975869,1.930832,-7.353452,0.000000,3.795030
0.020000,31.059607,19.643460,6.013015,1.783763,-7.353452,-0.000000,3.805333
0.020000,31.032763,19.622261,6.047220,1.636694,-7.353452,0.000000,3.814670
0.020000,31.008401,19.602669,6.078483,1.489625,-7.353452,-0.000000,3.823078
0.020000,30.986472,19.584745,6.106805,1.342556,-7.353452,0.000000,3.830593
0.020000,30.966884,19.568501,6.132253,1.202231,-7.016256,16.859798,3.837262
0.020000,30.949487,19.553889,6.154971,1.069646,-6.629233,19.351191,3.843150
0.020000,30.934135,19.540849,6.175116,0.944802,-6.242209,19.351191,3.848319
0.020000,30.920680,19.529308,6.192841,0.827698,-5.855185,19.351191,3.852827
0.020000,30.908988,19.519193,6.208301,0.718335,-5.468161,19.351191,3.856728
0.020000,30.898924,19.510423,6.221652,0.616712,-5.081137,19.351191,3.860074
0.020000,30.890355,19.502909,6.233047,0.522830,-4.694114,19.351191,3.862913
0.020000,30.883157,19.496564,6.242642,0.436688,-4.307090,19.351191,3.865292
0.020000,30.877205,19.491294,6.250592,0.358287,-3.920066,19.351191,3.867255
0.020000,30.872376,19.487004,6.257051,0.287626,-3.533042,19.351191,3.868844
0.020000,30.868552,19.483596,6.262175,0.224706,-3.146018,19.351191,3.870101
0.020000,30.865611,19.480969,6.266117,0.169526,-2.758995,19.351191,3.871066
0.020000,30.863439,19.479026,6.269033,0.122086,-2.371971,19.351191,3.871779
0.020000,30.861915,19.477661,6.271078,0.082388,-1.984947,19.351191,3.872278
0.020000,30.860926,19.476774,6.272406,0.050429,-1.597923,19.351191,3.872602
0.020000,30.860355,19.476262,6.273172,0.026211,-1.210899,19.351191,3.872789
0.020000,30.860087,19.476022,6.273532,0.009734,-0.823875,19.351191,3.872877
0.020000,30.860007,19.475950,6.273639,0.000997,-0.436852,19.351191,3.872903
0.020000,30.860000,19.475944,6.273649,0.000000,-0.049828,19.351191,3.872906
0.020000,30.860000,19.475944,6.273649,0.000000,0.000000,2.491393,3.872906
