dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,36.820000,19.450000,0.000077,0.007740,0.387024,19.351191,3.110948
0.020000,36.820000,19.450000,0.000077,0.000000,-0.387024,-38.702381,3.110860
0.020000,36.820000,19.450000,0.000077,0.000000,0.000000,19.351191,3.110661
0.020000,36.820000,19.450000,0.000077,0.000000,0.000000,0.000000,3.110308
0.020000,36.820000,19.450000,0.000077,0.000000,0.000000,0.000000,3.109756
0.020000,36.818919,19.450035,0.001159,0.054071,2.703558,135.177901,3.108963
0.020000,36.815128,19.450161,0.004952,0.189642,6.778522,203.748194,3.107885
0.020000,36.810177,19.450331,0.009906,0.247695,2.902645,-193.793839,3.106480
0.020000,36.803912,19.450557,0.016175,0.313489,3.289736,19.354569,3.104708
0.020000,36.796177,19.450851,0.023916,0.387025,3.676805,19.353439,3.102529
0.020000,36.786819,19.451229,0.033282,0.468296,4.063549,19.337207,3.099905
0.020000,36.775683,19.451711,0.044428,0.557314,4.450872,19.366116,3.096800
0.020000,36.762615,19.452320,0.057509,0.654070,4.837797,19.346267,3.093180
0.020000,36.747463,19.453086,0.072681,0.758567,5.224855,19.352892,3.089016
0.020000,36.730074,19.454042,0.090097,0.870803,5.611821,19.348305,3.084281
0.020000,36.710294,19.455230,0.109912,0.990777,5.998704,19.344144,3.078952
0.020000,36.687972,19.456697,0.132282,1.118498,6.386052,19.367391,3.073011
0.020000,36.662958,19.458498,0.157361,1.253953,6.772730,19.333899,3.066447
0.020000,36.635101,19.460696,0.185305,1.397156,7.160152,19.371114,3.059252
0.020000,36.604332,19.463357,0.216189,1.544218,7.353120,9.648382,3.051447
0.020000,36.570656,19.466544,0.250015,1.691289,7.353544,0.021245,3.043075
0.020000,36.534084,19.470323,0.286782,1.838359,7.353497,-0.002353,3.034187
0.020000,36.494625,19.474765,0.326490,1.985419,7.353009,-0.024406,3.024835
0.020000,36.452290,19.479942,0.369140,2.132493,7.353685,0.033765,3.015076
0.020000,36.407093,19.485924,0.414731,2.279560,7.353339,-0.017287,3.004970
0.020000,36.359048,19.492785,0.463264,2.426627,7.353377,0.001884,2.994583
0.020000,36.308170,19.500597,0.514738,2.573700,7.353644,0.013392,2.983980
0.020000,36.254476,19.509429,0.569153,2.720764,7.353211,-0.021669,2.973234
0.020000,36.197984,19.519348,0.626510,2.867827,7.353130,-0.004045,2.962416
0.020000,36.138711,19.530417,0.686808,3.014901,7.353694,0.028183,2.951601
0.020000,36.076675,19.542697,0.750047,3.161971,7.353513,-0.009032,2.940865
0.020000,36.011895,19.556238,0.816228,3.309037,7.353268,-0.012259,2.930286
0.020000,35.944386,19.571089,0.885350,3.456114,7.353872,0.030213,2.919944
0.020000,35.874167,19.587288,0.957414,3.603172,7.352899,-0.048670,2.909916
0.020000,35.801251,19.604866,1.032419,3.750250,7.353903,0.050225,2.900284
0.020000,35.725651,19.623845,1.110365,3.897312,7.353115,-0.039391,2.891128
0.020000,35.647375,19.644236,1.191253,4.044389,7.353846,0.036519,2.882530
0.020000,35.566431,19.666040,1.275082,4.191454,7.353232,-0.030670,2.874570
0.020000,35.482896,19.689224,1.361775,4.334658,7.160214,-9.650931,2.867338
0.020000,35.396915,19.713720,1.451177,4.470122,6.773202,-19.350587,2.860926
0.020000,35.308629,19.739443,1.543134,4.597836,6.385675,-19.376351,2.855420
0.020000,35.218173,19.766291,1.637490,4.717819,5.999168,-19.325339,2.850901
0.020000,35.125675,19.794147,1.734091,4.830053,5.611710,-19.372902,2.847447
0.020000,35.031259,19.822879,1.832783,4.934554,5.225035,-19.333781,2.845130
0.020000,34.935042,19.852340,1.933409,5.031311,4.837837,-19.359899,2.844020
0.020000,34.837137,19.882368,2.035815,5.120326,4.450762,-19.353708,2.844185
0.020000,34.737653,19.912790,2.139847,5.201601,4.063769,-19.349682,2.845690
0.020000,34.636694,19.943420,2.245350,5.275134,3.676642,-19.356340,2.848600
0.020000,34.534364,19.974059,2.352168,5.340924,3.289505,-19.356866,2.852977
0.020000,34.430764,20.004500,2.460148,5.398977,2.902624,-19.344051,2.858884
0.020000,34.325996,20.034524,2.569134,5.449282,2.515253,-19.368555,2.866383
0.020000,34.220161,20.063902,2.678971,5.491852,2.128521,-19.336595,2.875533
0.020000,34.113364,20.092400,2.789504,5.526674,1.741100,-19.371019,2.886393
0.020000,34.005715,20.119777,2.900579,5.553755,1.354039,-19.353057,2.899019
0.020000,33.897330,20.145784,3.012041,5.573092,0.966834,-19.360269,2.913461
0.020000,33.788332,20.170174,3.123735,5.584693,0.580082,-19.337609,2.929763
0.020000,33.678920,20.192683,3.235439,5.585178,0.024223,-27.792917,2.947950
0.020000,33.569306,20.213056,3.346929,5.574538,-0.532016,-27.811960,2.968027
0.020000,33.459651,20.231061,3.458053,5.556177,-0.918043,-19.301376,2.989993
0.020000,33.350130,20.246478,3.568654,5.530055,-1.306100,-19.402837,3.013828
0.020000,33.240933,20.259102,3.678578,5.496198,-1.692818,-19.335879,3.039484
0.020000,33.132268,20.268752,3.787670,5.454607,-2.079583,-19.338243,3.066887
