dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.091782,10.066868,0.000008,0.000768,0.038422,1.921099,6.277092
0.020000,0.091782,10.066868,0.000008,0.000000,-0.038422,-3.842198,6.277086
0.020000,0.091782,10.066868,0.000008,0.000000,0.000000,1.921099,6.277072
0.020000,0.091782,10.066868,0.000008,0.000000,0.000000,0.000000,6.277049
0.020000,0.091782,10.066868,0.000008,0.000000,0.000000,0.000000,6.277012
0.020000,0.091782,10.066868,0.000008,0.000000,0.000000,0.000000,6.276959
0.020000,0.091782,10.066868,0.000008,0.000000,0.000000,0.000000,6.276886
0.020000,0.091782,10.066868,0.000008,0.000000,0.000000,0.000000,6.276792
0.020000,0.091782,10.066868,0.000008,0.000000,0.000000,0.000000,6.276672
0.020000,0.091782,10.066868,0.000008,0.000000,0.000000,0.000000,6.276524
0.020000,0.091782,10.066868,0.000008,0.000000,0.000000,0.000000,6.276346
0.020000,0.091782,10.066868,0.000008,0.000000,0.000000,0.000000,6.276133
0.020000,0.091782,10.066868,0.000008,0.000000,0.000000,0.000000,6.275883
0.020000,0.091782,10.066868,0.000008,0.000000,0.000000,0.000000,6.275595
0.020000,0.091782,10.066868,0.000008,0.000000,0.000000,0.000000,6.275269
0.020000,0.091782,10.066868,0.000008,0.000000,0.000000,0.000000,6.274904
0.020000,0.091782,10.066868,0.000008,0.000000,0.000000,0.000000,6.274501
0.020000,0.091782,10.066868,0.000008,0.000000,0.000000,0.000000,6.274059
0.020000,0.091782,10.066868,0.000008,0.000000,0.000000,0.000000,6.273578
0.020000,0.093954,10.066846,0.002180,0.108621,5.431038,271.551920,6.273059
0.020000,0.096853,10.066816,0.005079,0.144930,1.815440,-180.779930,6.272501
0.020000,0.099950,10.066782,0.008176,0.154881,0.497565,-65.893765,6.271904
0.020000,0.103247,10.066744,0.011473,0.164823,0.497130,-0.021727,6.271269
0.020000,0.106741,10.066701,0.014968,0.174757,0.496669,-0.023064,6.270595
0.020000,0.110435,10.066653,0.018662,0.184680,0.496181,-0.024389,6.269883
0.020000,0.114333,10.066600,0.022560,0.194925,0.512244,0.803150,6.269130
0.020000,0.118430,10.066541,0.026657,0.204857,0.496600,-0.782185,6.268339
0.020000,0.122724,10.066475,0.030952,0.214766,0.495427,-0.058672,6.267509
0.020000,0.127217,10.066403,0.035446,0.224663,0.494834,-0.029660,6.266640
0.020000,0.131912,10.066323,0.040141,0.234773,0.505515,0.534092,6.265731
0.020000,0.136808,10.066235,0.045038,0.244846,0.503674,-0.092065,6.264783
0.020000,0.141901,10.066139,0.050133,0.254721,0.493757,-0.495847,6.263795
0.020000,0.147192,10.066033,0.055424,0.264583,0.493063,-0.034712,6.262769
0.020000,0.152688,10.065918,0.060921,0.274832,0.512461,0.969908,6.261702
0.020000,0.158381,10.065793,0.066616,0.284755,0.496170,-0.814552,6.260595
0.020000,0.164271,10.065656,0.072508,0.294589,0.491677,-0.224629,6.259449
0.020000,0.170364,10.065508,0.078602,0.304719,0.506490,0.740621,6.258263
0.020000,0.176657,10.065347,0.084897,0.314749,0.501533,-0.247826,6.257037
0.020000,0.183146,10.065173,0.091388,0.324551,0.490068,-0.573287,6.255771
0.020000,0.189837,10.064986,0.098082,0.334714,0.508178,0.905505,6.254464
0.020000,0.196728,10.064783,0.104976,0.344689,0.498747,-0.471558,6.253117
