dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.091782,10.066868,0.000008,0.000769,0.038462,1.923077,6.277092
0.020000,0.091782,10.066868,0.000038,0.002308,0.076923,1.923077,6.277086
0.020000,0.091782,10.066868,0.000108,0.004615,0.115385,1.923077,6.277072
0.020000,0.091782,10.066868,0.000231,0.007692,0.153846,1.923077,6.277049
0.020000,0.091782,10.066868,0.000423,0.011538,0.192308,1.923077,6.277012
0.020000,0.091782,10.066868,0.000700,0.016154,0.230769,1.923077,6.276959
0.020000,0.091782,10.066868,0.001077,0.021538,0.269231,1.923077,6.276886
0.020000,0.091782,10.066868,0.001569,0.027692,0.307692,1.923077,6.276791
0.020000,0.091782,10.066868,0.002192,0.034615,0.346154,1.923077,6.276672
0.020000,0.091782,10.066868,0.002962,0.042308,0.384615,1.923077,6.276524
0.020000,0.091782,10.066868,0.003892,0.050769,0.423077,1.923077,6.276345
0.020000,0.091782,10.066868,0.005000,0.060000,0.461538,1.923077,6.276132
0.020000,0.091782,10.066868,0.006300,0.070000,0.500000,1.923077,6.275882
0.020000,0.091782,10.066868,0.007800,0.080000,0.500000,-0.000000,6.275594
0.020000,0.091782,10.066868,0.009500,0.090000,0.500000,0.000000,6.275267
0.020000,0.091782,10.066868,0.011400,0.100000,0.500000,0.000000,6.274902
0.020000,0.091782,10.066868,0.013500,0.110000,0.500000,-0.000000,6.274498
0.020000,0.091782,10.066868,0.015800,0.120000,0.500000,0.000000,6.274055
0.020000,0.091782,10.066868,0.018300,0.130000,0.500000,-0.000000,6.273575
0.020000,0.093976,10.066846,0.021000,0.140000,0.500000,0.000000,6.273055
0.020000,0.096877,10.066816,0.023900,0.150000,0.500000,-0.000000,6.272496
0.020000,0.099978,10.066782,0.027000,0.160000,0.500000,0.000000,6.271899
0.020000,0.103278,10.066743,0.030300,0.170000,0.500000,-0.000000,6.271263
0.020000,0.106776,10.066700,0.033800,0.180000,0.500000,0.000000,6.270589
0.020000,0.110473,10.066653,0.037500,0.190000,0.500000,0.000000,6.269875
0.020000,0.114375,10.066599,0.041400,0.200000,0.500000,0.000000,6.269122
0.020000,0.118476,10.066540,0.045500,0.210000,0.500000,-0.000000,6.268330
0.020000,0.122776,10.066474,0.049800,0.220000,0.500000,0.000000,6.267499
0.020000,0.127273,10.066402,0.054300,0.230000,0.500000,0.000000,6.266629
0.020000,0.131973,10.066322,0.059000,0.240000,0.500000,0.000000,6.265719
0.020000,0.136874,10.066234,0.063900,0.250000,0.500000,-0.000000,6.264770
0.020000,0.141972,10.066137,0.069000,0.260000,0.500000,0.000000,6.263782
0.020000,0.147268,10.066032,0.074300,0.270000,0.500000,-0.000000,6.262754
0.020000,0.152770,10.065916,0.079800,0.280000,0.500000,0.000000,6.261686
0.020000,0.158469,10.065791,0.085500,0.290000,0.500000,-0.000000,6.260578
0.020000,0.164365,10.065654,0.091400,0.300000,0.500000,0.000000,6.259431
0.020000,0.170464,10.065506,0.097500,0.310000,0.500000,0.000000,6.258244
0.020000,0.176764,10.065345,0.103800,0.320000,0.500000,0.000000,6.257016
0.020000,0.183259,10.065170,0.110300,0.330000,0.500000,0.000000,6.255749
0.020000,0.189958,10.064982,0.117000,0.340000,0.500000,-0.000000,6.254441
0.020000,0.196855,10.064779,0.123900,0.350000,0.500000,0.000000,6.253092
0.020000,0.203948,10.064561,0.131000,0.360000,0.500000,0.000000,6.251704
0.020000,0.211248,10.064326,0.138300,0.370000,0.500000,0.000000,6.250274
