dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.091782,10.066868,0.000008,0.000800,0.039983,1.999163,6.277091
0.020000,0.091782,10.066868,0.000008,0.000000,-0.039983,-3.998326,6.277085
0.020000,0.091782,10.066868,0.000008,0.000000,0.000000,1.999163,6.277072
0.020000,0.091782,10.066868,0.000008,0.000000,0.000000,0.000000,6.277047
0.020000,0.091782,10.066868,0.000008,0.000000,0.000000,0.000000,6.277009
0.020000,0.091782,10.066868,0.000008,0.000000,0.000000,0.000000,6.276953
0.020000,0.091782,10.066868,0.000008,0.000000,0.000000,0.000000,6.276878
0.020000,0.091782,10.066868,0.000008,0.000000,0.000000,0.000000,6.276780
0.020000,0.091782,10.066868,0.000008,0.000000,0.000000,0.000000,6.276655
0.020000,0.091782,10.066868,0.000008,0.000000,0.000000,0.000000,6.276501
0.020000,0.091782,10.066868,0.000008,0.000000,0.000000,0.000000,6.276315
0.020000,0.091782,10.066868,0.000008,0.000000,0.000000,0.000000,6.276094
0.020000,0.091782,10.066868,0.000008,0.000000,0.000000,0.000000,6.275834
0.020000,0.091782,10.066868,0.000008,0.000000,0.000000,0.000000,6.275533
0.020000,0.091782,10.066868,0.000008,0.000000,0.000000,0.000000,6.275187
0.020000,0.091782,10.066868,0.000008,0.000000,0.000000,0.000000,6.274793
0.020000,0.091782,10.066868,0.000008,0.000000,0.000000,0.000000,6.274349
0.020000,0.091782,10.066868,0.000008,0.000000,0.000000,0.000000,6.273851
0.020000,0.092727,10.066858,0.000953,0.047242,2.362099,118.104970,6.273295
0.020000,0.095927,10.066826,0.004154,0.160036,5.639711,163.880603,6.272679
0.020000,0.099455,10.066787,0.007681,0.176384,0.817383,-241.116433,6.272000
0.020000,0.103325,10.066743,0.011552,0.193515,0.856544,1.958071,6.271254
0.020000,0.107553,10.066691,0.015780,0.211426,0.895570,1.951266,6.270439
0.020000,0.112158,10.066630,0.020385,0.230255,0.941438,2.293418,6.269550
0.020000,0.117158,10.066559,0.025386,0.250019,0.988205,2.338366,6.268585
0.020000,0.122555,10.066478,0.030783,0.269889,0.993494,0.264456,6.267542
0.020000,0.128349,10.066384,0.036578,0.289729,0.991997,-0.074868,6.266421
0.020000,0.134548,10.066276,0.042778,0.309993,1.013220,1.061147,6.265221
0.020000,0.141144,10.066153,0.049375,0.329887,0.994698,-0.926080,6.263942
0.020000,0.148136,10.066014,0.056369,0.349667,0.988979,-0.285947,6.262586
0.020000,0.155535,10.065856,0.063770,0.370035,1.018407,1.471370,6.261149
0.020000,0.163328,10.065679,0.071565,0.389763,0.986383,-1.601163,6.259633
0.020000,0.171523,10.065479,0.079762,0.409860,1.004870,0.924324,6.258037
0.020000,0.180117,10.065256,0.088359,0.429829,0.998447,-0.321158,6.256362
0.020000,0.189109,10.065007,0.097354,0.449775,0.997324,-0.056153,6.254607
0.020000,0.198502,10.064729,0.106751,0.469841,1.003276,0.297601,6.252770
0.020000,0.208292,10.064422,0.116546,0.489768,0.996366,-0.345488,6.250853
0.020000,0.218482,10.064082,0.126742,0.509782,1.000680,0.215708,6.248855
0.020000,0.229072,10.063708,0.137338,0.529819,1.001836,0.057779,6.246776
0.020000,0.240057,10.063296,0.148331,0.549636,0.990857,-0.548959,6.244615
0.020000,0.251446,10.062843,0.159729,0.569907,1.013567,1.135535,6.242371
0.020000,0.263229,10.062348,0.171523,0.589681,0.988685,-1.244119,6.240045
0.020000,0.275412,10.061808,0.183717,0.609722,1.002043,0.667901,6.237637
0.020000,0.287994,10.061219,0.196314,0.629826,1.005240,0.159831,6.235145
0.020000,0.300972,10.060578,0.209307,0.649674,0.992393,-0.642319,6.232569
0.020000,0.314346,10.059883,0.222699,0.669611,0.996815,0.221097,6.229911
0.020000,0.328122,10.059129,0.236496,0.689834,1.011188,0.718626,6.227167
0.020000,0.342294,10.058314,0.250691,0.709733,0.994915,-0.813638,6.224338
0.020000,0.356860,10.057435,0.265284,0.729656,0.996167,0.062589,6.221425
0.020000,0.371822,10.056487,0.280276,0.749601,0.997271,0.055205,6.218427
0.020000,0.387182,10.055467,0.295669,0.769659,1.002873,0.280120,6.215343
0.020000,0.402938,10.054372,0.311464,0.789738,1.003962,0.054426,6.212173
0.020000,0.419090,10.053196,0.327658,0.809696,0.997921,-0.302060,6.208916
0.020000,0.435635,10.051937,0.344251,0.829667,0.998513,0.029611,6.205573
0.020000,0.452575,10.050591,0.361244,0.849646,0.998975,0.023124,6.202142
0.020000,0.469908,10.049152,0.378637,0.869632,0.999312,0.016846,6.198624
0.020000,0.487634,10.047618,0.396429,0.889623,0.999528,0.010789,6.195018
0.020000,0.505752,10.045982,0.414621,0.909616,0.999627,0.004965,6.191325
0.020000,0.524263,10.044242,0.433214,0.929608,0.999615,-0.000614,6.187543
0.020000,0.543165,10.042391,0.452206,0.949598,0.999496,-0.005936,6.183672
0.020000,0.562456,10.040427,0.471597,0.969583,0.999276,-0.010988,6.179712
0.020000,0.582138,10.038343,0.491388,0.989563,0.998961,-0.015760,6.175663
0.020000,0.602207,10.036134,0.511579,1.009534,0.998556,-0.020241,6.171525
0.020000,0.622664,10.033797,0.532169,1.029495,0.998068,-0.024418,6.167298
0.020000,0.643510,10.031325,0.553161,1.049614,1.005960,0.394595,6.162980
0.020000,0.664742,10.028713,0.574553,1.069608,0.999711,-0.312439,6.158572
0.020000,0.686358,10.025955,0.596345,1.089554,0.997277,-0.121733,6.154074
0.020000,0.708357,10.023048,0.618534,1.109483,0.996467,-0.040465,6.149487
0.020000,0.730737,10.019985,0.641123,1.129462,0.998917,0.122493,6.144809
0.020000,0.753502,10.016759,0.664116,1.149610,1.007427,0.425519,6.140041
0.020000,0.776645,10.013366,0.687506,1.169503,0.994655,-0.638599,6.135182
0.020000,0.800163,10.009800,0.711293,1.189380,0.993853,-0.040130,6.130234
0.020000,0.824064,10.006054,0.735486,1.209610,1.011468,0.880778,6.125195
0.020000,0.848337,10.002123,0.760075,1.229455,0.992269,-0.959997,6.120066
0.020000,0.872983,9.998000,0.785064,1.249451,0.999778,0.375479,6.114848
0.020000,0.898003,9.993680,0.810454,1.269511,1.003016,0.161881,6.109540
0.020000,0.923391,9.989156,0.836241,1.289373,0.993108,-0.495383,6.104143
0.020000,0.949150,9.984421,0.862432,1.309531,1.007880,0.738609,6.098657
0.020000,0.975272,9.979470,0.889019,1.329357,0.991329,-0.827576,6.093083
0.020000,1.001761,9.974295,0.916009,1.349504,1.007350,0.801044,6.087420
0.020000,1.028610,9.968891,0.943397,1.369382,0.993886,-0.673189,6.081670
0.020000,1.055820,9.963249,0.971185,1.389425,1.002127,0.412039,6.075833
0.020000,1.083388,9.957364,0.999374,1.409429,1.000232,-0.094722,6.069910
0.020000,1.111308,9.951230,1.027960,1.429311,0.994074,-0.307881,6.063902
0.020000,1.139584,9.944838,1.056949,1.449461,1.007502,0.671382,6.057808
0.020000,1.168208,9.938182,1.086337,1.469388,0.996338,-0.558187,6.051631
0.020000,1.197177,9.931255,1.116123,1.489317,0.996455,0.005847,6.045371
0.020000,1.226493,9.924051,1.146311,1.509375,1.002932,0.323824,6.039029
0.020000,1.256149,9.916561,1.176899,1.529391,1.000764,-0.108387,6.032606
0.020000,1.286143,9.908780,1.207886,1.549346,0.997753,-0.150538,6.026104
0.020000,1.316472,9.900700,1.239272,1.569315,0.998452,0.034943,6.019524
0.020000,1.347132,9.892314,1.271058,1.589295,0.999009,0.027856,6.012867
0.020000,1.378120,9.883615,1.303244,1.609314,1.000943,0.096662,6.006134
0.020000,1.409433,9.874595,1.335831,1.629335,1.001089,0.007331,5.999327
