dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,1.040000,0.000001,0.000100,0.005000,0.250000,0.000000
0.020000,0.000000,1.040000,0.000001,0.000000,-0.005000,-0.500000,0.000000
0.020000,0.000000,1.040000,0.000001,0.000000,0.000000,0.250000,0.000000
0.020000,0.000000,1.040000,0.000001,0.000000,0.000000,0.000000,0.000000
0.020000,0.000000,1.040000,0.000001,0.000000,0.000000,0.000000,0.000000
0.020000,0.000000,1.040000,0.000001,0.000000,0.000000,0.000000,0.000000
0.020000,0.000000,1.040000,0.000001,0.000000,0.000000,0.000000,0.000000
0.020000,0.000000,1.040000,0.000001,0.000000,0.000000,0.000000,0.000000
0.020000,0.000000,1.040000,0.000001,0.000000,0.000000,0.000000,0.000000
0.020000,0.000000,1.040000,0.000001,0.000000,0.000000,0.000000,0.000000
0.020000,0.000000,1.040000,0.000001,0.000000,0.000000,0.000000,0.000000
0.020000,0.000000,1.040000,0.000001,0.000000,0.000000,0.000000,0.000000
0.020000,0.000000,1.040000,0.000001,0.000000,0.000000,0.000000,0.000000
0.020000,0.000000,1.040000,0.000001,0.000000,0.000000,0.000000,0.000000
0.020000,0.000000,1.040000,0.000001,0.000000,0.000000,0.000000,0.000000
0.020000,0.000000,1.040000,0.000001,0.000000,0.000000,0.000000,0.000000
0.020000,0.000000,1.040000,0.000001,0.000000,0.000000,0.000000,0.000000
0.020000,0.000109,1.040000,0.000110,0.005450,0.272500,13.625000,0.000000
0.020000,0.000470,1.040000,0.000471,0.018050,0.630000,17.875000,0.000000
0.020000,0.000870,1.040000,0.000871,0.020000,0.097500,-26.625000,0.000000
0.020000,0.001311,1.040000,0.001312,0.022050,0.102500,0.250000,0.000000
0.020000,0.001795,1.040000,0.001796,0.024200,0.107500,0.250000,0.000000
0.020000,0.002324,1.040000,0.002325,0.026450,0.112500,0.250000,0.000000
0.020000,0.002900,1.040000,0.002901,0.028800,0.117500,0.250000,0.000000
0.020000,0.003525,1.040000,0.003526,0.031250,0.122500,0.250000,0.000000
0.020000,0.004201,1.040000,0.004202,0.033800,0.127500,0.250000,0.000000
0.020000,0.004930,1.040000,0.004931,0.036450,0.132500,0.250000,0.000000
0.020000,0.005714,1.040000,0.005715,0.039200,0.137500,0.250000,0.000000
0.020000,0.006555,1.040000,0.006556,0.042050,0.142500,0.250000,0.000000
0.020000,0.007455,1.040000,0.007456,0.045000,0.147500,0.250000,0.000000
0.020000,0.008416,1.040000,0.008417,0.048050,0.152500,0.250000,0.000000
0.020000,0.009440,1.040000,0.009441,0.051200,0.157500,0.250000,0.000000
0.020000,0.010529,1.040000,0.010530,0.054450,0.162500,0.250000,0.000000
0.020000,0.011685,1.040000,0.011686,0.057800,0.167500,0.250000,0.000000
0.020000,0.012910,1.040000,0.012911,0.061250,0.172500,0.250000,0.000000
0.020000,0.014206,1.040000,0.014207,0.064800,0.177500,0.250000,0.000000
0.020000,0.015575,1.040000,0.015576,0.068450,0.182500,0.250000,0.000000
0.020000,0.017019,1.040000,0.017020,0.072200,0.187500,0.250000,0.000000
0.020000,0.018540,1.040000,0.018541,0.076050,0.192500,0.250000,0.000000
0.020000,0.020140,1.040000,0.020141,0.080000,0.197500,0.250000,0.000000
0.020000,0.021821,1.040000,0.021822,0.084050,0.202500,0.250000,0.000000
0.020000,0.023585,1.040000,0.023586,0.088200,0.207500,0.250000,0.000000
0.020000,0.025434,1.040000,0.025435,0.092450,0.212500,0.250000,0.000000
0.020000,0.027370,1.040000,0.027371,0.096800,0.217500,0.250000,0.000000
0.020000,0.029395,1.040000,0.029396,0.101250,0.222500,0.250000,0.000000
0.020000,0.031511,1.040000,0.031512,0.105800,0.227500,0.250000,0.000000
0.020000,0.033720,1.040000,0.033721,0.110450,0.232500,0.250000,0.000000
0.020000,0.036024,1.040000,0.036025,0.115200,0.237500,0.250000,0.000000
0.020000,0.038425,1.040000,0.038426,0.120050,0.242500,0.250000,0.000000
0.020000,0.040925,1.040000,0.040926,0.125000,0.247500,0.250000,0.000000
0.020000,0.043525,1.040000,0.043526,0.130000,0.250000,0.125000,0.000000
0.020000,0.046225,1.040000,0.046226,0.135000,0.250000,0.000000,0.000000
